Model,RMSE,MAE,R² Score
Random Forest (Tuned),0.1577095966399111,0.034074987910121576,0.7558862582016843
Random Forest,0.16767958859041593,0.0371590152198703,0.7240461959748985
Gradient Boosting,0.18949613263669707,0.032000279649630495,0.6475669017865185
XGBoost,0.20219770246661103,0.034136978139232686,0.5987376440974455
Linear Regression,0.32670082807011736,0.10387146460795811,-0.04755408855525323
Ridge,0.3267258153074715,0.10385640827594177,-0.047714335982868006
