coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized
cETH,CETH,53.71,-0.001,0.009,0.04,1088.54,3191011869.0,2022-03-16,0.001303094552320373,1.8788997687273245e-08,0.00402731246127999
VeChain,VET,0.047848054559,0.0279999999999999,0.033,0.0279999999999999,283498801.0,3172681612.0,2022-03-16,1.1608739024928562e-06,0.00489339695034977,0.004003691351056567
Fantom,FTM,1.22,0.043,0.022,-0.079,1173101401.0,3072929159.0,2022-03-16,2.959924319383705e-05,0.020248589404455515,0.003875146307341696
Filecoin,FIL,17.27,0.016,0.01,-0.0409999999999999,264401106.0,3052322720.0,2022-03-16,0.000418999123389701,0.004563756746786052,0.003848592016971886
Osmosis,OSMO,9.39,0.0139999999999999,0.018,-0.001,94042665.0,3040277019.0,2022-03-16,0.00022781712613466004,0.0016232452782534521,0.0038330694396812677
Klaytn,KLAY,1.1,0.016,0.023,-0.012,57133059.0,3034567731.0,2022-03-16,2.668784222041003e-05,0.0009861584447221471,0.003825712220350122
Frax,FRAX,0.998392,-0.002,0.001,-0.0,18194194.0,2866968260.0,2022-03-16,2.4222661969510253e-05,0.00031404511454590623,0.0036097367663301167
Waves,WAVES,28.62,0.0139999999999999,0.081,0.273,1508088374.0,2862185867.0,2022-03-16,0.00069436913212634,0.02603070991538177,0.0036035739813683604
Theta Network,THETA,2.82,0.032,0.033,-0.004,118835496.0,2798708447.0,2022-03-16,6.841792283953066e-05,0.002051187700507073,0.00352177441169956
Magic Internet Money,MIM,0.997676,0.0,0.004,0.002,44641451.0,2784271477.0,2022-03-16,2.4205290610368807e-05,0.0007705441413228011,0.003503170348501633
The Graph,GRT,0.440816,0.003,0.0409999999999999,0.315,388652958.0,2731591470.0,2022-03-16,1.069493439318072e-05,0.006708434718994163,0.0034352847617410273
Tezos,XTZ,3.05,0.021,0.025,0.013,114838106.0,2665887669.0,2022-03-16,7.399810803859911e-05,0.001982189821269627,0.003350616187507788
cUSDC,CUSDC,0.022533007284,-0.001,0.001,0.001,41.83,2449140377.0,2022-03-16,5.466884585029725e-07,7.220164378512869e-10,0.003071306864405529
Helium,HNT,21.72,-0.002,0.048,0.026,22415718.0,2183873719.0,2022-03-16,0.0005269635761542864,0.0003869117107874486,0.002729473524741112
THORChain,RUNE,7.23,0.04,-0.059,0.769,297836092.0,2165143023.0,2022-03-16,0.00017541190861297367,0.005140869094176146,0.002705336392633394
EOS,EOS,2.06,0.019,0.032,0.048,337828464.0,2019196307.0,2022-03-16,4.997905000782619e-05,0.005831166726800185,0.0025172635540811244
ECOMI,OMI,0.003406821495,0.019,0.027,-0.2189999999999999,3444049.0,1976983567.0,2022-03-16,8.265515913596711e-08,5.9446808289870595e-05,0.0024628665107460147
IOTA,MIOTA,0.712336,0.018,0.011,0.012,26950213.0,1976598984.0,2022-03-16,1.7282464329054923e-05,0.00046518041572061786,0.0024623709215443436
cDAI,CDAI,0.021895790224,-0.001,0.0,-0.0,93.89,1942222665.0,2022-03-16,5.312285054299033e-07,1.6206101685359151e-09,0.002418072207119633
Flow,FLOW,5.43,0.017,0.023,-0.053,57457444.0,1923544184.0,2022-03-16,0.00013174089401156834,0.000991757567413813,0.0023940023613718557
Theta Fuel,TFUEL,0.162482,0.024,0.0069999999999999,0.064,16105407.0,1886178774.0,2022-03-16,3.942085405365417e-06,0.0002779911210204442,0.002345851783441967
Aave,AAVE,137.44,0.037,0.131,0.129,282336331.0,1862097786.0,2022-03-16,0.0033345245815290764,0.004873331866713408,0.002314820048762146
