coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized,liquidity_ratio,volatility_score,avg_abs_change,turnover_rate,market_dominance,momentum_short,momentum_medium,momentum_long,momentum_consistency,liquidity_class
Wrapped Bitcoin,WBTC,40820.44,0.02,0.03,0.055,443045583.0,11077637101.0,2022-03-16,0.9903722395976248,0.0076472912656802,0.0141903365746844,0.03999459261578495,0.018027756377319945,0.035,0.007647291265680293,0.29498639749146505,0.02,0.03,0.055,1,Medium
Cronos,CRO,0.401575,0.018,0.043,0.038,99233479.0,10108572460.0,2022-03-16,9.742882013195308e-06,0.0017128425298391,0.0129415607010737,0.009816764868894257,0.013228756555322952,0.033,0.0017128425298391222,0.26918117524247615,0.018,0.043,0.038,1,Medium
Polygon,MATIC,1.44,0.0289999999999999,0.034,-0.0,665458992.0,9860943646.0,2022-03-16,3.4936811645119914e-05,0.0114863096088918,0.0126224562002482,0.06748431142996515,0.018357559750685797,0.020999999999999967,0.011486309608891897,0.26258706757394185,0.0289999999999999,0.034,-0.0,0,Medium
Dai,DAI,0.999429,-0.0,-0.001,-0.0,311112491.0,9375312310.0,2022-03-16,2.4247821326255623e-05,0.0053700294650456,0.0119966520276387,0.033184226904970165,0.0005773502691896258,0.0003333333333333333,0.005370029465045675,0.24965519076578435,-0.0,-0.001,-0.0,0,Medium
Cosmos Hub,ATOM,28.8,0.017,0.051,0.035,784802946.0,8346059118.0,2022-03-16,0.0006987362335864,0.0135462736668925,0.0106703147539146,0.09403275664647646,0.017009801096230764,0.034333333333333334,0.013546273666892563,0.22224720759694924,0.017,0.051,0.035,1,High
Litecoin,LTC,109.44,0.016,0.013,0.089,735718470.0,7629784997.0,2022-03-16,0.0026551976877294,0.0126990396598326,0.0097472949641579,0.09642715624218526,0.043038742236888534,0.03933333333333333,0.01269903965983263,0.2031735440851628,0.016,0.013,0.089,1,High
Lido Staked Ether,STETH,2745.31,0.026,0.035,0.067,20327033.0,6972219575.0,2022-03-16,0.0666058183862884,0.0003508594778566,0.0088999295774002,0.002915432134823436,0.02154839514519198,0.042666666666666665,0.00035085947785669515,0.1856632345144309,0.026,0.035,0.067,1,Low
Near,NEAR,10.61,0.0409999999999999,0.032,0.091,402450393.0,6885969777.0,2022-03-16,0.0002574163693645,0.0069465885528498,0.0087887846008018,0.05844498393592064,0.03178574103797699,0.054666666666666634,0.0069465885528498805,0.18336648865027097,0.0409999999999999,0.032,0.091,1,Medium
Chainlink,LINK,14.41,0.023,0.064,0.102,720924698.0,6696893329.0,2022-03-16,0.000349610733523,0.0124436883196025,0.0085451330459512,0.1076506168730704,0.039509492530276816,0.063,0.012443688319602552,0.17833157193134652,0.023,0.064,0.102,1,High
TRON,TRX,0.060751875857,0.011,0.005,0.003,608305288.0,6139215131.0,2022-03-16,1.473942218225569e-06,0.0104997948163485,0.0078264863742675,0.09908518841901454,0.004163331998932265,0.006333333333333333,0.010499794816348582,0.16348115924065626,0.011,0.005,0.003,1,High
